nationality	time_on_page	layer	adapted_to_nationality	avatar_pictures_shown	manipulation_lev	stories_read	stories_read_dichotomized	stories_rated	stories_rated_dichotomized	comments_written	comments_written_dichotomized	stories_written	stories_written_dichotomized	avatars_clicked	avatars_clicked_dichotomized	newsletter	registered	photo
MX	56.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	39.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	99.0	ugc	FALSE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	339.0	dialect	TRUE	FALSE	dialect_mx	3	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	116.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE
MX	2723.0	dialect	TRUE	FALSE	dialect_mx	11	TRUE	6	TRUE	3	TRUE	1	TRUE	2	TRUE	TRUE	TRUE	TRUE
MX	121.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	40.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	130.0	dialect	TRUE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	156.0	symbols	TRUE	FALSE	symbols_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	68.0	symbols	TRUE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	227.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	2957.0	symbols	TRUE	FALSE	symbols_mx	1	TRUE	0	FALSE	1	TRUE	0	FALSE	1	TRUE	FALSE	TRUE	FALSE
ES	20.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	263.0	symbols	TRUE	FALSE	symbols_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	50.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	42.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	89.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	34.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	symbols	FALSE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	symbols	TRUE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	48.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	3	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	27.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	39.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	35.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	8.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	536.0	symbols	TRUE	FALSE	symbols_mx	2	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	70.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	103.0	ugc	TRUE	FALSE	ugc_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	930.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	19.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	177.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE
MX	61.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	442.0	ugc	NEUTRAL	FALSE	ugc_ne	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	628.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	19.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	695.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	42.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	214.0	dialect	FALSE	FALSE	dialect_es	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	220.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	39.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	85.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	52.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE
MX	70.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	21.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	85.0	dialect	FALSE	FALSE	dialect_es	1	TRUE	0	FALSE	0	FALSE	0	FALSE	2	TRUE	FALSE	FALSE	FALSE
ES	20.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	179.0	ugc	TRUE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	584.0	ugc	FALSE	FALSE	ugc_es	2	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	60.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	50.0	dialect	FALSE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	541.0	symbols	TRUE	FALSE	symbols_mx	1	TRUE	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	39.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	39.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	68.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	3292.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	1	TRUE	0	FALSE	FALSE	TRUE	FALSE
MX	71.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	9.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	100.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	243.0	symbols	FALSE	FALSE	symbols_es	1	TRUE	0	FALSE	1	TRUE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	40.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	872.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	6.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	182.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	40.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	dialect	NEUTRAL	FALSE	dialect_ne	3	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	204.0	symbols	NEUTRAL	FALSE	symbols_ne	2	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX		ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	30.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	32.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	1	TRUE	FALSE	FALSE	FALSE
MX	101.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	30.0	dialect	TRUE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	20.0	ugc	TRUE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	83.0	dialect	TRUE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	19.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	948.0	ugc	NEUTRAL	FALSE	ugc_ne	1	TRUE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	dialect	TRUE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	22.0	symbols	NEUTRAL	FALSE	symbols_ne	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	252.0	ugc	TRUE	FALSE	ugc_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	70.0	symbols	FALSE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	25.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	1	TRUE	FALSE	FALSE	FALSE
ES	144.0	dialect	FALSE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	339.0	dialect	TRUE	FALSE	dialect_es	1	TRUE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	30.0	ugc	TRUE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	649.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	80.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	10.0	ugc	FALSE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	1009.0	ugc	NEUTRAL	FALSE	ugc_ne	6	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	30.0	symbols	TRUE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	86.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	dialect	TRUE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	767.0	symbols	TRUE	FALSE	symbols_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	31.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	15.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	130.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	61.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	8	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	271.0	ugc	FALSE	FALSE	ugc_mx	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	10.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	42.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	15.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	337.0	dialect	TRUE	FALSE	dialect_es	1	TRUE	0	FALSE	2	TRUE	0	FALSE	1	TRUE	FALSE	TRUE	FALSE
ES	40.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	149.0	dialect	TRUE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	34.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	359.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	110.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	1208.0	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	symbols	TRUE	FALSE	symbols_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
